"EMPLOYEE_ID","FIRST_NAME","LAST_NAME","EMAIL","PHONE_NUMBER","HIRE_DATE","JOB_ID","SALARY","COMMISSION_PCT","MANAGER_ID","DEPARTMENT_ID"
100,Steven,King,SKING,5151234567,2003-06-17 00:00:00.000,AD_PRES,24000,,,90
101,Naveen,Madala,NKOCHHAR,5151234568,2005-09-21 00:00:00.000,AD_VP,17000,,100,90
102,Lex,Denmark,LDEHAAN,5151234569,2001-01-13 00:00:00.000,AD_VP,17000,,100,90
103,Alexander,Hunold,ggfffrdf,5904234567,2006-01-03 00:00:00.000,IT_PROG,9000,,102,60
104,Bruce,Ernst,BERNST,5904234568,2007-05-21 00:00:00.000,IT_PROG,6000,,103,60
105,David,Austin,DAUSTIN,5904234569,2005-06-25 00:00:00.000,IT_PROG,4800,,103,60
106,Valli,Pataballa,VPATABAL,5904234560,2006-02-05 00:00:00.000,IT_PROG,4800,,103,60
107,Diana,Lorentz,DLORENTZ,1234657890,2007-02-07 00:00:00.000,IT_PROG,4200,,103,60
108,Nancy,Greenberg,NGREENBE,5151244569,2002-08-17 00:00:00.000,FI_MGR,12001,,101,100
109,Daniel,Faviet,DFAVIET,5151244169,2002-08-16 00:00:00.000,FI_ACCOUNT,9000,,108,100
110,John,cn't see me,JCHEN,5151244269,2005-09-28 00:00:00.000,FI_ACCOUNT,8200,,108,100
111,Ismael,Sciarra,ISCIARRA,5151244369,2005-09-30 00:00:00.000,FI_ACCOUNT,7700,,108,100
112,Jose Manuel,Urman,JMURMAN,5151244469,2006-03-07 00:00:00.000,FI_ACCOUNT,7800,,108,100
113,Luis,Popp,LPOPP,5151244567,2007-12-07 00:00:00.000,FI_ACCOUNT,6900,,100,100
114,Daniel,Raphaely,DRAPHEAL,5151274561,2002-12-07 00:00:00.000,PU_MAN,11000,,100,30
115,Alexander,Khool,AKHOO,5151274562,2003-05-18 00:00:00.000,PU_CLERK,3100,,114,30
