"EMPLOYEE_KEY","EMPLOYEE_ID","FIRST_NAME","LAST_NAME","EMAIL","PHONE_NUMBER","HIRE_DATE","JOB_ID","SALARY","COMMISSION_PCT","MANAGER_ID","DEPARTMENT_ID","EFF_DATE","END_DATE"
152,100,Steven,King,SKING,5151234567,2003-06-17 00:00:00.000,AD_PRES,24000,,,90,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
153,101,Naveen,Kochhar,NKOCHHAR,5151234568,2005-09-21 00:00:00.000,AD_VP,17000,,100,90,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
154,102,Lex,Denmark,LDEHAAN,5151234569,2001-01-13 00:00:00.000,AD_VP,17000,,100,90,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
155,103,Alexander,Hunold,ggfffrdf,5904234567,2006-01-03 00:00:00.000,IT_PROG,9000,,102,60,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
156,104,Bruce,Ernst,BERNST,5904234568,2007-05-21 00:00:00.000,IT_PROG,6000,,103,60,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
157,105,David,Austin,DAUSTIN,5904234569,2005-06-25 00:00:00.000,IT_PROG,4800,,103,60,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
158,106,Valli,Pataballa,VPATABAL,5904234560,2006-02-05 00:00:00.000,IT_PROG,4800,,103,60,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
159,107,Diana,Lorentz,DLORENTZ,1234657890,2007-02-07 00:00:00.000,IT_PROG,4200,,103,60,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
160,108,Nancy,Greenberg,NGREENBE,5151244569,2002-08-17 00:00:00.000,FI_MGR,12001,,101,100,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
161,109,Daniel,Faviet,DFAVIET,5151244169,2002-08-16 00:00:00.000,FI_ACCOUNT,9000,,108,100,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
162,110,John,cn't see me,JCHEN,5151244269,2005-09-28 00:00:00.000,FI_ACCOUNT,8200,,108,100,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
163,111,Ismael,Sciarra,ISCIARRA,5151244369,2005-09-30 00:00:00.000,FI_ACCOUNT,7700,,108,100,2025-01-30 13:50:26.000,9999-12-31 00:00:00.000
