"EMPLOYEE_KEY","EMPLOYEE_ID","FIRST_NAME","LAST_NAME","EMAIL","PRE_EMAIL","PHONE_NUMBER","PRE_PHONE_NUMBER","HIRE_DATE","JOB_ID","SALARY","PRE_SALARY","COMMISSION_PCT","MANAGER_ID","DEPARTMENT_ID"
293,100,Steven,King,SKING,,5151234567,,2003-06-17 00:00:00.000,AD_PRES,24000,,,,90
294,101,Naveen,Kochhar,NKOCHHAR,,5151234568,,2005-09-21 00:00:00.000,AD_VP,17000,,,100,90
295,102,Lex,Denmark,LDEHAAN,,5151234569,,2001-01-13 00:00:00.000,AD_VP,17000,,,100,90
296,103,Alexander,Hunold,ggfffrdf,,5904234567,,2006-01-03 00:00:00.000,IT_PROG,9000,,,102,60
297,104,Bruce,Ernst,BERNST,,5904234568,,2007-05-21 00:00:00.000,IT_PROG,6000,,,103,60
298,105,David,Austin,DAUSTIN,,5904234569,,2005-06-25 00:00:00.000,IT_PROG,4800,,,103,60
299,106,Valli,Pataballa,VPATABAL,,5904234560,,2006-02-05 00:00:00.000,IT_PROG,4800,,,103,60
300,107,Diana,Lorentz,DLORENTZ,,1234657890,,2007-02-07 00:00:00.000,IT_PROG,4200,,,103,60
301,108,Nancy,Greenberg,NGREENBE,,5151244569,,2002-08-17 00:00:00.000,FI_MGR,12001,,,101,100
302,109,Daniel,Faviet,DFAVIET,,5151244169,,2002-08-16 00:00:00.000,FI_ACCOUNT,9000,,,108,100
303,110,John,cn't see me,JCHEN,,5151244269,,2005-09-28 00:00:00.000,FI_ACCOUNT,8200,,,108,100
304,111,Ismael,Sciarra,ISCIARRA,,5151244369,,2005-09-30 00:00:00.000,FI_ACCOUNT,7700,,,108,100
305,112,Jose Manuel,Urman,JMURMAN,,5151244469,,2006-03-07 00:00:00.000,FI_ACCOUNT,7800,,,108,100
306,113,Luis,Popp,LPOPP,,5151244567,,2007-12-07 00:00:00.000,FI_ACCOUNT,6900,,,100,100
307,114,Daniel,Raphaely,DRAPHEAL,,5151274561,,2002-12-07 00:00:00.000,PU_MAN,11000,,,100,30
308,115,Alexander,Khool,AKHOO,,5151274562,,2003-05-18 00:00:00.000,PU_CLERK,3100,,,114,30
309,116,Shelli,Baida,SBAIDA,,5151274563,,2005-12-24 00:00:00.000,PU_CLERK,2900,,,114,30
310,117,Sigal,Tobias,STOBIAS,,5151274565,,2005-07-24 00:00:00.000,PU_CLERK,2800,,,114,30
311,118,Guy,Himuro,GHIMURO,,5151274565,,2006-11-15 00:00:00.000,PU_CLERK,2600,,,114,30
312,119,Karen,Colmenares,KCOLMENA,,5151274566,,2007-08-10 00:00:00.000,PU_CLERK,2500,,,114,30
313,120,Matthew,Weiss,MWEISS,,6501231234,,2004-07-18 00:00:00.000,ST_MAN,8000,,,100,50
314,121,Adam,Fripp,AFRIPP,,6501232234,,2005-04-10 00:00:00.000,ST_MAN,8300,,,100,50
315,122,Payam,Kaufling,PKAUFLIN,,6501233234,,2003-05-01 00:00:00.000,ST_MAN,7900,,,100,50
316,123,Shanta,Vollman,SVOLLMAN,,6501234234,,2005-10-10 00:00:00.000,ST_MAN,6500,,,100,50
317,124,Kevin,Mourgos,KMOURGOS,,6501235234,,2007-11-16 00:00:00.000,ST_MAN,5800,,,100,50
318,125,Julia,Nayer,JNAYER,,6501241214,,2005-07-16 00:00:00.000,ST_CLERK,3200,,,120,50
319,126,Irene,Mikkilineni,IMIKKILI,,6501241224,,2006-09-28 00:00:00.000,ST_CLERK,2700,,,120,50
